FAC 1.1.5
Endian	= 0
TSess	= 1570375361
Type	= 1
Verbose	= 1
Ge Z	=  32.0
NBlocks	= 1
E0	= 0, -4.90495729E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
   162     -1  1.97656203E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)8
   163     -1  1.97679100E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)10
   164     -1  1.97679722E+03 1   604    4 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)4
   165     -1  1.97683456E+03 1   604   12 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)12
   166     -1  1.97684287E+03 1   604    6 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)6
   167     -1  1.97688389E+03 0   605    6 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)6
   168     -1  1.97690961E+03 1   604    6 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)6
   169     -1  1.97691264E+03 0   605   12 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)12
   170     -1  1.97691305E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)8
   171     -1  1.97692345E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)8
   172     -1  1.97694367E+03 0   605   14 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)14
   173     -1  1.97694972E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)8
   174     -1  1.97696576E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)8
   175     -1  1.97697190E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)10
   176     -1  1.97698574E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)10
   177     -1  1.97699784E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)10
   178     -1  1.97701920E+03 0   605   12 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)12
   179     -1  1.99351298E+03 1   600    0 1*2.2*7.6*1                      2p5.6s1                                          2p-1(1)1.6s+1(1)0
   180     -1  1.99362761E+03 1   600    2 1*2.2*7.6*1                      2p5.6s1                                          2p-1(1)1.6s+1(1)2
   181     -1  1.99872665E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p-1(1)2
   182     -1  1.99961922E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p+1(3)2
   183     -1  1.99971176E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p+1(3)4
   184     -1  1.99992062E+03 0   601    0 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p-1(1)0
   185     -1  2.00563445E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d-1(3)4
   186     -1  2.00583606E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d+1(5)4
   187     -1  2.00595219E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d+1(5)6
   188     -1  2.00643975E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d-1(3)2
   189     -1  2.00897526E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f-1(5)6
   190     -1  2.00907608E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f+1(7)8
   191     -1  2.00907697E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f+1(7)6
   192     -1  2.00909106E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f-1(5)4
   193     -1  2.00951266E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g-1(7)8
   194     -1  2.00953195E+03 1   604    6 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g-1(7)6
   195     -1  2.00956066E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g+1(9)10
   196     -1  2.00957373E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g+1(9)8
   197     -1  2.00960533E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h-1(9)8
   198     -1  2.00961558E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h-1(9)10
   199     -1  2.00963639E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h+1(11)10
